Movie;Month;Day;Year;Budget($M);Domestic Gross($M);Worldwide Gross($M)
What Women Want;Dec;15;2000;65;182.805.123;374.105.123
Superman Returns;Jun;28;2006;232;200.12;374.085.065
The Adventures of Tintin;Dec;21;2011;130;77.591.831;373.993.951
Shark Tale;Oct;1;2004;75;161.412;371.917.043
Mad Max: Fury Road;May;15;2015;150;153.636.354;370.742.166
Captain America: The First Avenger;Jul;22;2011;140;176.654.505;370.569.776
Edge of Tomorrow;Jun;6;2014;178;100.206.256;370.541.256
There's Something About Mary;Jul;15;1998;22;176.484.651;369.884.651
Gone Girl;Oct;3;2014;61;167.767.189;368.567.189
Penguins of Madagascar;Nov;26;2014;132;83.350.911;367.650.911
Raiders of the Lost Ark;Jun;12;1981;20;225.686.079;367.452.079
The Golden Compass;Dec;7;2007;205;70.107.728;367.262.558
Hitch;Feb;11;2005;55;177.784.257;366.784.257
Hitch;Feb;11;2005;55;177.784.257;366.784.257
Die Hard: With a Vengeance;May;19;1995;90;100.012.499;366.101.666
Jurassic Park III;Jul;18;2001;93;181.166.115;365.9
Terminator Salvation;May;21;2009;200;125.322.469;365.491.792
True Lies;Jul;15;1994;100;146.282.411;365.3
Toy Story;Nov;22;1995;30;191.796.233;364.545.516
Notting Hill;May;28;1999;42;116.089.678;363.728.226
A Bug's Life;Nov;20;1998;45;162.798.565;363.095.319
Fast & Furious;Apr;3;2009;85;155.064.265;363.064.265
Ocean's Twelve;Dec;10;2004;110;125.531.634;362.989.076
Alvin and the Chipmunks;Dec;14;2007;55;217.326.974;362.605.033
Alvin and the Chipmunks;Dec;14;2007;55;217.326.974;362.605.033
Planet of the Apes;Jul;27;2001;100;18.001.174;36.221.174
The Hangover 3;May;23;2013;103;112.200.072;362.000.072
The World is Not Enough;Nov;19;1999;135;12.693.066;36.173.066
Batman Begins;Jun;15;2005;150;205.343.774;359.142.722
Home Alone 2: Lost in New York;Nov;20;1992;20;173.585.516;35.899.485
Minority Report;Jun;21;2002;102;132.024.714;358.824.714
The Flintstones;May;27;1994;45;130.531.208;358.5
Top Gun;May;16;1986;15;179.800.601;356.800.601
Night at the Museum: Secret of the Tomb;Dec;19;2014;127;113.746.621;356.546.621
Goldeneye;Nov;17;1995;60;106.429.941;356.429.941
American Beauty;Sep;15;1999;15;130.058.047;356.258.047
Dinosaur;May;19;2000;127.5;137.748.063;356.148.063
X-Men: First Class;Jun;3;2011;160;146.408.305;355.408.305
The Fugitive;Aug;6;1993;44;18.387.576;353.715.317
Noah;Mar;28;2014;130;101.200.044;352.831.065
The Angry Birds Movie;May;20;2016;73;107.509.366;352.829.528
The Karate Kid;Jun;11;2010;40;176.591.618;351.774.938
